collected_at_utc,source_type,company,title,location,team,url,external_id,posted_at,description_snippet
2026-04-02 13:25:21,ddg:apply.workable.com,air,PlatformEngineer- Air,,,https://apply.workable.com/air/j/B81492BDBE/,ddg::https://apply.workable.com/air/j/B81492BDBE/,,"Build and scale Air’s platform as our nextPlatformEngineer. As aPlatformEngineer, you’ll play a crucial role in designing, maintaining, and evolving the infrastructure that powers Air’s..."
2026-04-02 13:25:21,ddg:jobs.ashbyhq.com,airapps,DevOpsEngineer@ Air Apps,,,https://jobs.ashbyhq.com/airapps/8f2a5aa1-7bb6-4bc6-bb56-ef509da4585b?src=LinkedIn,ddg::https://jobs.ashbyhq.com/airapps/8f2a5aa1-7bb6-4bc6-bb56-ef509da4585b?src=LinkedIn,,"DevOpsEngineer. Location. San Francisco.Requirements. Around 3+ years of experience in DevOps, Site Reliability Engineering (SRE), or Cloud Engineering."
2026-04-02 13:25:21,ddg:jobs.ashbyhq.com,airapps,SiteReliabilityEngineer(SRE) @ Air Apps,,,https://jobs.ashbyhq.com/airapps/3078910f-918e-4aed-a2a8-b0027c94a4f2?src=LinkedIn,ddg::https://jobs.ashbyhq.com/airapps/3078910f-918e-4aed-a2a8-b0027c94a4f2?src=LinkedIn,,"As aSiteReliabilityEngineer(SRE) at Air Apps, you will be responsible for ensuring the reliability, availability, and scalability of our systems. You will work at the intersection of software development and operations, implementing automation, monitoring, and performance optimization..."
2026-04-02 13:25:21,ddg:jobs.ashbyhq.com,airapps,SiteReliabilityEngineer(SRE) @ Air Apps,,,https://jobs.ashbyhq.com/airapps/e8d2ee4c-83af-42b6-b333-f17a70055e46,ddg::https://jobs.ashbyhq.com/airapps/e8d2ee4c-83af-42b6-b333-f17a70055e46,,"As aSiteReliabilityEngineer(SRE) at Air Apps, you will be responsible for ensuring the reliability, availability, and scalability of our systems. You will work at the intersection of software development and operations, implementing automation, monitoring, and performance optimization..."
2026-04-02 13:25:21,ddg:jobs.ashbyhq.com,airapps,SiteReliabilityEngineer(SRE) @ Air Apps,,,https://jobs.ashbyhq.com/airapps/3078910f-918e-4aed-a2a8-b0027c94a4f2,ddg::https://jobs.ashbyhq.com/airapps/3078910f-918e-4aed-a2a8-b0027c94a4f2,,"As aSiteReliabilityEngineer(SRE) at Air Apps, you will be responsible for ensuring the reliability, availability, and scalability of our systems. You will work at the intersection of software development and operations, implementing automation, monitoring, and performance optimization..."
2026-04-03 13:01:38,greenhouse,airbnb,Senior Android Automation Engineer,,,https://careers.airbnb.com/positions/7380262?gh_jid=7380262,greenhouse::7380262,2026-03-17T19:41:32-04:00,
2026-04-03 13:01:38,greenhouse,airbnb,Senior iOS Automation Engineer,,,https://careers.airbnb.com/positions/7453190?gh_jid=7453190,greenhouse::7453190,2026-03-12T14:33:40-04:00,
2026-04-03 13:01:38,greenhouse,airbnb,"Senior Software Engineer, Reliability Engineering",,,https://careers.airbnb.com/positions/7565550?gh_jid=7565550,greenhouse::7565550,2026-02-11T18:05:46-05:00,
2026-04-02 13:25:21,ddg:jobs.ashbyhq.com,airspace-intelligence.com,DevSecOps@ Air Space Intelligence,,,https://jobs.ashbyhq.com/airspace-intelligence.com/de0e53fb-8f74-4c65-8958-a5f54a1f93f7,ddg::https://jobs.ashbyhq.com/airspace-intelligence.com/de0e53fb-8f74-4c65-8958-a5f54a1f93f7,,"What you will do: AirSpace Intelligence is building mission-critical, secure infrastructure for defense. We are seeking aDevSecOpsEngineer to design, build..."
2026-04-02 13:25:21,ddg:jobs.smartrecruiters.com,ajbell1,AJ BellPlatformEngineer| SmartRecruiters,,,https://jobs.smartrecruiters.com/AJBell1/743999960618313-platform-engineer,ddg::https://jobs.smartrecruiters.com/AJBell1/743999960618313-platform-engineer,,"As aPlatformEngineer, you'll play a pivotal role in our mission, collaborating with diverse product engineering teams and working on a broad range of tasks that vary day-to-day."
2026-04-02 13:11:40,weworkremotely,Akinox Solutions,TeamLead DevOps,Remote,,https://weworkremotely.com/remote-jobs/akinox-solutions-teamlead-devops,wwr::https://weworkremotely.com/remote-jobs/akinox-solutions-teamlead-devops,"Mon, 09 Mar 2026 20:32:46 +0000","Headquarters: Montréal, Quebec, Canada Akinox&nbsp;s’engage à être un véritable agent de changement. Nous cherchons à faire une réelle différence dans la vie des gens à l’aide de solutions numériques modernes permettant des soins accessibles, efficaces, collaboratifs et centrés sur le patient. Nous "
2026-04-02 13:25:21,ddg:apply.workable.com,al-goodbody,CloudInfrastructure& Security Engineer,,,https://apply.workable.com/al-goodbody/j/FE82A62AAF/,ddg::https://apply.workable.com/al-goodbody/j/FE82A62AAF/,,This role will provide an exciting opportunity for an experienced ITCloudInfrastructure& Security Engineer to work as part of a highly dynamic team responsible for mission critical cloud...
2026-04-02 13:25:21,ddg:apply.workable.com,algooru,DevOpsEngineer- AlGooru,,,https://apply.workable.com/algooru/j/E2A19A2CC7/,ddg::https://apply.workable.com/algooru/j/E2A19A2CC7/,,We’re looking for aDevOpsEngineer. About the job.Have a minimum of 3 years as aDevOpsEngineerSolid experience in managing Cloud Infrastructure
2026-04-02 13:25:21,ddg:apply.workable.com,allwynls,CloudInfrastructureEngineer,,,https://apply.workable.com/allwynls/j/161DC41E22/,ddg::https://apply.workable.com/allwynls/j/161DC41E22/,,Responsible for managing acloudbased network across multiple locations. Consult and implementInfrastructurecomponents of the Security Strategy. Help define risks where appropriate.
2026-04-02 13:11:40,weworkremotely,Alphorm,"Formateur IT Indépendant  Cybersécurité,IA, DevOps, Réseaux ...",Remote,,https://weworkremotely.com/remote-jobs/alphorm-formateur-it-independant-cybersecurite-ia-devops-reseaux,wwr::https://weworkremotely.com/remote-jobs/alphorm-formateur-it-independant-cybersecurite-ia-devops-reseaux,"Thu, 19 Mar 2026 20:31:48 +0000","Headquarters: 6 Rue dArmaillé Paris, Île-de-France, 75017 France Description de l'offre d'emploi À propos d’Alphorm: Alphorm est le leader de l’e-learning IT en français, engagé à proposer des formations innovantes, accessibles et de haute qualité. Notre mission est de développer les compétences de "
2026-04-02 13:25:21,ddg:jobs.smartrecruiters.com,altersolutions,Alter SolutionsInfrastructureEngineer| SmartRecruiters,,,https://jobs.smartrecruiters.com/AlterSolutions/744000064117174-infrastructure-engineer,ddg::https://jobs.smartrecruiters.com/AlterSolutions/744000064117174-infrastructure-engineer,,"TheInfrastructureEngineeris responsible for the end-to-end management of IT infrastructure, covering both cloud-based and on-premises environments."
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,altium,Jobs at Altium,,,https://job-boards.greenhouse.io/altium,ddg::https://job-boards.greenhouse.io/altium,,"DevOpsEngineer, Part Analytics. Bengaluru, Karnataka, India.Senior Software Engineer - Backend (java). Wrocław, Lower Silesian Voivodeship, Poland."
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,altium?error=true,Jobs at Altium,,,https://job-boards.greenhouse.io/altium?error=true,ddg::https://job-boards.greenhouse.io/altium?error=true,,"DevOpsEngineer, Part Analytics. Bengaluru, Karnataka, India. SRE Engineertags.new.Senior Software Engineer - Backend (java). Wrocław, Lower Silesian Voivodeship, Poland."
2026-04-02 13:11:40,weworkremotely,Amaris Consulting,Ingénieur DevOps H/F,Remote,,https://weworkremotely.com/remote-jobs/amaris-consulting-ingenieur-devops-h-f,wwr::https://weworkremotely.com/remote-jobs/amaris-consulting-ingenieur-devops-h-f,"Wed, 04 Mar 2026 16:43:53 +0000","Headquarters: Bordeaux, Nouvelle-Aquitaine, FR Les missions du posteAmaris Consulting est une société indépendante de conseil et de technologies au service des entreprises. Avec plus de 1000 clients dans le monde, nous déployons des solutions pour les plus grands projets depuis plus d'une décennie -"
2026-04-02 13:25:21,ddg:apply.workable.com,ampcontrol,DevOpsEngineer- Ampcontrol,,,https://apply.workable.com/ampcontrol/j/A664174084/,ddg::https://apply.workable.com/ampcontrol/j/A664174084/,,"DevOpsEngineer. Remote Engineering Full time.Proficiency in core DevOps technologies such as Docker, Kubernetes, SQL database management, CI/CD pipelines, and Terraform."
2026-04-02 13:25:21,ddg:apply.workable.com,analytic-solutions-group,CloudInfrastructureEngineer,,,https://apply.workable.com/analytic-solutions-group/j/9706459909/,ddg::https://apply.workable.com/analytic-solutions-group/j/9706459909/,,"Experience: Proven experience in programming,cloudengineering,infrastructuredesign, or related roles. Familiarity withcloudplatforms such as AWS, Azure, or GoogleCloudis essential."
2026-04-02 13:25:21,ddg:apply.workable.com,and-digital,AzureCloudEngineer- AND Digital,,,https://apply.workable.com/and-digital/j/077604B910/,ddg::https://apply.workable.com/and-digital/j/077604B910/,,"As aCloudEngineer, you will be a specialist in your team, building scalable cloud solutions to solve a variety of problems."
2026-04-02 13:25:21,ddg:apply.workable.com,and-digital,CloudEngineer- AND Digital,,,https://apply.workable.com/and-digital/j/B17965E52F/,ddg::https://apply.workable.com/and-digital/j/B17965E52F/,,"As aCloudEngineer, you will be a specialist in your team, building scalable cloud solutions to solve a variety of problems."
2026-04-02 13:25:21,ddg:boards.greenhouse.io,andurilindustries,"Job Application for Senior Embedded Engineer, EW at Anduril Industries",,,https://boards.greenhouse.io/andurilindustries/jobs/5095379007,ddg::https://boards.greenhouse.io/andurilindustries/jobs/5095379007,,22 hours ago·Develop and maintain infrastructure and tools that enable DSP and RFML engineers to rapidly deploy algorithms and models to our assets. Develop high-performance ...
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,andurilindustries,Job Application for Senior Site Reliability Engineer at Anduril ...,,,https://job-boards.greenhouse.io/andurilindustries/jobs/5095017007,ddg::https://job-boards.greenhouse.io/andurilindustries/jobs/5095017007,,"21 hours ago·Senior Site Reliability Engineer · 7+ years of working experience in DevOps or SRE type roles · Strongly proficient in utilizing cloud services like AWS, Azure, ..."
2026-04-02 13:25:21,ddg:boards.greenhouse.io,andurilindustries,Job Application for Senior Site Reliability Engineer at Anduril ...,,,https://boards.greenhouse.io/andurilindustries/jobs/5095017007,ddg::https://boards.greenhouse.io/andurilindustries/jobs/5095017007,,"21 hours ago·Senior Site Reliability Engineer · 7+ years of working experience in DevOps or SRE type roles · Strongly proficient in utilizing cloud services like AWS, Azure, ..."
2026-04-02 13:25:21,ddg:boards.greenhouse.io,andurilindustries,"Technical Operations Engineer, Intelligence Systems",,,https://boards.greenhouse.io/andurilindustries/jobs/5095630007,ddg::https://boards.greenhouse.io/andurilindustries/jobs/5095630007,,"22 hours ago·Strong mechanical aptitude to troubleshoot and repair critical site infrastructure including generators, solar power systems, and hydraulic systems."
2026-04-03 13:01:38,greenhouse,anthropic,GRC Automation Engineering Lead,,,https://job-boards.greenhouse.io/anthropic/jobs/4980335008,greenhouse::4980335008,2026-04-01T10:49:08-04:00,
2026-04-03 13:01:38,greenhouse,anthropic,"Infrastructure Engineer, Sandboxing",,,https://job-boards.greenhouse.io/anthropic/jobs/5030680008,greenhouse::5030680008,2026-04-01T10:49:08-04:00,
2026-04-02 13:25:21,ddg:boards.greenhouse.io,anthropic,Job Application for Machine LearningEngineer- Customer Projects at...,,,https://boards.greenhouse.io/anthropic/jobs/4020165008,ddg::https://boards.greenhouse.io/anthropic/jobs/4020165008,,"2+ years of experience as a Customer Engineer, Forward Deployed Engineer, Sales Engineer, Solutions Architect, orPlatformEngineer. Designed novel and innovative solutions for..."
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,anthropic,"Job Application for MLInfrastructureEngineer, Safeguards at Anthropic",,,https://job-boards.greenhouse.io/anthropic/jobs/4778843008,ddg::https://job-boards.greenhouse.io/anthropic/jobs/4778843008,,"We are seeking a Machine LearningInfrastructureEngineerto join our Safeguards organization, where you'll build and scale the critical infrastructure that powers our AI safety systems."
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,anthropic,"Software Engineer, Cloud Inference Safeguards",,,https://job-boards.greenhouse.io/anthropic/jobs/5168829008?gh_jid=5168829008,ddg::https://job-boards.greenhouse.io/anthropic/jobs/5168829008?gh_jid=5168829008,,"6 hours ago·About the role. We are seeking a Software Engineer to build and operate the safety, oversight, and intervention mechanisms that protect Claude on third-party ..."
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,anthropic?error=true,Jobs at Anthropic,,,https://job-boards.greenhouse.io/anthropic?error=true,ddg::https://job-boards.greenhouse.io/anthropic?error=true,,"MLInfrastructureEngineer, Safeguards.San Francisco, CA. Research Engineer, Cybersecurity Reinforcement Learning."
2026-04-02 13:25:21,ddg:jobs.lever.co,apolloresearch,EvalsPlatformEngineer,,,https://jobs.lever.co/apolloresearch/1a2af2fb-dd64-4053-8718-db307755175a,ddg::https://jobs.lever.co/apolloresearch/1a2af2fb-dd64-4053-8718-db307755175a,,"We're seeking aPlatformEngineerwho will design, build, and maintain the secure infrastructure foundation that powers our frontier AI evaluations."
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,aptoslabs,Jobs at Aptos,,,https://job-boards.greenhouse.io/aptoslabs,ddg::https://job-boards.greenhouse.io/aptoslabs,,"PlatformEngineer. Palo Alto, California. Staff Software Engineer, Product."
2026-04-02 13:11:40,weworkremotely,Aquisit,Lead DevOps H/F,Remote,,https://weworkremotely.com/remote-jobs/aquisit-lead-devops-h-f,wwr::https://weworkremotely.com/remote-jobs/aquisit-lead-devops-h-f,"Wed, 04 Mar 2026 16:43:52 +0000","Headquarters: Toulouse, Occitanie, FR Les missions du posteAquisIT est une société spécialisée dans le recrutement de Talents IT, pour le compte de clients finaux au niveau national. Nous valorisons une approche humaine et des relations de confiances. AquisIT s'engage à être réactif et présent pour "
2026-04-02 13:25:21,ddg:job-boards.greenhouse.io,arcinstitute?error=true,Jobs at Arc Institute,,,https://job-boards.greenhouse.io/arcinstitute?error=true,ddg::https://job-boards.greenhouse.io/arcinstitute?error=true,,"Associate Director, Genomics Platform. Palo Alto, CA. Bioinformatics Engineer.InfrastructureEngineer."
2026-04-02 13:25:21,ddg:boards.greenhouse.io,armada,"Senior Mission Success Engineer, US Federal",,,https://boards.greenhouse.io/armada/jobs/5170318008,ddg::https://boards.greenhouse.io/armada/jobs/5170318008,,"9 hours ago·... SRE, forward-deployed engineering, or technical delivery roles in US Federal environments; Active TS/SCI clearance required; Full Scope Polygraph strongly ..."
2026-04-02 13:25:21,ddg:apply.workable.com,assurity-trusted-solutions,"CloudInfrastructureEngineer (Kubernetes, Redhat OpenShift)...",,,https://apply.workable.com/assurity-trusted-solutions/j/8AFB6895C3/,ddg::https://apply.workable.com/assurity-trusted-solutions/j/8AFB6895C3/,,"We are looking for aCloudInfrastructureEngineer (Large Language Model) to join us! You will be working on: Design, deploy, and optimize Kubernetes clusters using the Nvidia software..."
2026-04-02 13:25:21,ddg:apply.workable.com,assurity-trusted-solutions,DevSecOpsSecurity Operations Analyst,,,https://apply.workable.com/assurity-trusted-solutions/j/F18F316D64/,ddg::https://apply.workable.com/assurity-trusted-solutions/j/F18F316D64/,,"DevSecOpsSecurity Operations Analyst. On-siteManaged ServicesContract. Singapore, Singapore, Singapore."
2026-04-03 13:01:38,arbeitnow,Auralis Group,Cloud Engineer mit Karriereambitionen - jetzt mit uns voll durchstarten!,Remote,"Remote, System and Network Administration",https://www.arbeitnow.com/jobs/companies/auralis-group/cloud-engineer-mit-karriereambitionen-jetzt-mit-uns-voll-durchstarten-grunwald-61732,arbeitnow::cloud-engineer-mit-karriereambitionen-jetzt-mit-uns-voll-durchstarten-grunwald-61732,1775167231,"Wir sind ein fast zwei Jahre altes IT Unternehmen, aktuell 50 MA, und suchen nun weiterhin Verstärkung, um Cloud-Projekte bei unseren Kunden durchzuführen. Aufgaben Du willst: Deine Arbeitszeiten selbst bestimmen? von zuhause aus arbeiten (remote)? den nächsten Schritt in Deiner Karriere gehen und l"
2026-04-02 13:25:21,ddg:apply.workable.com,auria,"Development, Security, and Operations (DevSecOps) Engineer",,,https://apply.workable.com/auria/j/BDCD6D9750/,ddg::https://apply.workable.com/auria/j/BDCD6D9750/,,"The ideal candidate will performDevSecOpstasks that design and implement solutions to build, test, and deploy containerized microservices in a fast-paced environment for providing an..."
2026-04-02 13:25:21,ddg:apply.workable.com,auria,"Development, Security, and Operations (DevSecOps) Engineer",,,https://apply.workable.com/auria/j/7D5F1988DE/,ddg::https://apply.workable.com/auria/j/7D5F1988DE/,,"The ideal candidate will performDevSecOpstasks that design and implement solutions to build, test, and deploy containerized microservices in a fast-paced environment for providing an..."
2026-04-02 13:25:21,ddg:apply.workable.com,auria,DevSecOpsEngineer,,,https://apply.workable.com/auria/j/55D7053948/,ddg::https://apply.workable.com/auria/j/55D7053948/,,The ideal candidate will performDevSecOpstasks to deliver a major component of the system used to provide the Department of Defense (DOD) Wideband Military Satellite Communications...
2026-04-02 13:25:21,ddg:jobs.lever.co,aurora-dev,SiteReliabilityEngineer,,,https://jobs.lever.co/aurora-dev/2837eaaf-fcce-4896-b5e2-5b379b0352a7,ddg::https://jobs.lever.co/aurora-dev/2837eaaf-fcce-4896-b5e2-5b379b0352a7,,You are areliabilityengineerwith experience of creating and maintaining backend systems. You are familiar with the entire Linux stack and can easily find a bottleneck in a distributed system.
2026-04-03 13:01:38,jobicy,Automat-it,Senior DevOps Engineer,Ukraine,DevOps &amp; Infrastructure,https://jobicy.com/jobs/140852-senior-devops-engineer-3,jobicy::140852,2026-03-18T06:02:45+00:00,"DescriptionAutomat-it is where high-growth startups turn when they need to move faster, scale smarter, and make the most of the cloud. As an AWS Premier Partner and Strategic Partner, we..."
2026-04-02 13:11:40,weworkremotely,Auvaria,Senior Cloud Consultant - DevOps (f/m/d) - 4-Days-Week (EN),Remote,,https://weworkremotely.com/remote-jobs/auvaria-senior-cloud-consultant-devops-f-m-d-4-days-week-en,wwr::https://weworkremotely.com/remote-jobs/auvaria-senior-cloud-consultant-devops-f-m-d-4-days-week-en,"Thu, 05 Mar 2026 16:45:16 +0000","Headquarters: Remote (RS),Novi Sad Welcome to Auvaria, where passion, team spirit, responsibility and courage form the basis of our culture.We are looking for a motivated and solution-oriented team player (f/m/d) with a flair for individual customer requirements and a strong hands-on mentality. As a"
2026-04-02 13:25:21,ddg:apply.workable.com,avint,DevSecOpsEngineer,,,https://apply.workable.com/avint/j/444A0CA9BC/,ddg::https://apply.workable.com/avint/j/444A0CA9BC/,,"Avint LLC is seeking a sharp, innovative, and mission-driven ON-SITEDevSecOpsEngineer to help shape and scale modern infrastructure in a high-impact, enterprise environment."
2026-04-02 13:25:21,ddg:apply.workable.com,aviso,"AssociateDevSecOpsEngineer, Temporary",,,https://apply.workable.com/aviso/j/C6C493F764/,ddg::https://apply.workable.com/aviso/j/C6C493F764/,,"Reporting to theDevSecOpsManager, the AssociateDevSecOpsEngineer, with guidance from other Engineers, will collaborate with Teams to contribute to the standardization, stability..."
2026-04-02 13:25:21,ddg:jobs.lever.co,axoni,Site Reliability Engineer,,,https://jobs.lever.co/axoni/9bcb978e-6306-423f-bbf6-e3eb0c6ec468,ddg::https://jobs.lever.co/axoni/9bcb978e-6306-423f-bbf6-e3eb0c6ec468,,"Axoni’sDevSecOpsteam is responsible for managing and maintaining the company’s corporate cloud infrastructure, focused primarily on organizational-level operating standards and..."
2026-04-02 13:11:40,weworkremotely,Bcw,Senior Linux Systems Administrator & DevOps Engineer (Remote),Remote,,https://weworkremotely.com/remote-jobs/bcw-senior-linux-systems-administrator-devops-engineer-remote,wwr::https://weworkremotely.com/remote-jobs/bcw-senior-linux-systems-administrator-devops-engineer-remote,"Thu, 05 Mar 2026 16:03:54 +0000","Headquarters: Hong Kong, Hong Kong The BCW Technologies Infrastructure (BCWT-I) team are seeking a Senior (5+ years experience) Systems Administrator with very high technical and English communication proficiency. &nbsp;This senior Dev Ops engineer will be responsible for entire verticals of operati"
2026-04-02 13:25:21,ddg:jobs.lever.co,binance,Binance -SiteReliabilityEngineer,,,https://jobs.lever.co/binance/2c1ceecb-e4ba-40c3-8bea-10fb90b0bded/apply?ref=web3jobs.io,ddg::https://jobs.lever.co/binance/2c1ceecb-e4ba-40c3-8bea-10fb90b0bded/apply?ref=web3jobs.io,,About the Role We are looking for a SeniorSiteReliabilityEngineer(SRE) with solid Node.js experience to help maintain and improve our internal testing and validation systems.
2026-04-02 13:25:21,ddg:jobs.lever.co,binance,"SeniorSiteReliabilityEngineer(Node.js & QA), Trading...",,,https://jobs.lever.co/binance/7943cc80-5a16-4aaa-852f-95fc683097ab/apply?ref=web3jobs.io,ddg::https://jobs.lever.co/binance/7943cc80-5a16-4aaa-852f-95fc683097ab/apply?ref=web3jobs.io,,About the Role We are looking for a SeniorSiteReliabilityEngineer(SRE) with solid Node.js experience to help maintain and improve our internal testing and validation systems.Engineering – DevOps/SRE/.
2026-04-02 13:25:21,ddg:jobs.smartrecruiters.com,biogen,Biogen Sr.ReliabilityEngineerI,,,https://jobs.smartrecruiters.com/Biogen/743999980608673-sr-reliability-engineer-i,ddg::https://jobs.smartrecruiters.com/Biogen/743999980608673-sr-reliability-engineer-i,,Practical knowledge and application of GMP and EMEA regulations.CertifiedReliabilityEngineeror Certified Maintenance and Reliability Professional.
2026-04-02 13:25:21,ddg:jobs.smartrecruiters.com,biogen,Biogen Sr.ReliabilityEngineerI,,,https://jobs.smartrecruiters.com/Biogen/743999996534535-sr-reliability-engineer-i,ddg::https://jobs.smartrecruiters.com/Biogen/743999996534535-sr-reliability-engineer-i,,Practical knowledge and application of GMP and EMEA regulations.CertifiedReliabilityEngineeror Certified Maintenance and Reliability Professional.
